date,total_calls,avg_duration_seconds,unique_languages,docket_count,calls_growth_percent,duration_growth_percent,language_growth_percent,docket_growth_percent
2025-09-30,18,155,6,56,12,5,12,-35
2025-09-29,16,148,5,86,8,3,8,-5
2025-09-28,15,142,6,91,-2,2,20,8
2025-09-27,17,139,5,84,13,-1,-17,-8
2025-09-26,15,140,6,91,-12,4,20,15
2025-09-25,17,135,5,79,6,-3,-17,-12
2025-09-24,16,139,6,90,7,8,20,14
2025-09-23,15,129,5,79,-6,-7,-17,-21
2025-09-22,16,138,6,100,14,12,20,25
2025-09-21,14,123,5,80,-13,-11,-17,-20
2025-09-20,16,138,6,95,23,15,20,19
2025-09-19,13,120,5,80,-19,-14,-17,-20
2025-09-18,16,140,6,100,14,8,20,25
2025-09-17,14,130,5,80,-13,-7,-17,-20
2025-09-16,16,139,6,95,14,6,20,19
2025-09-15,14,131,5,80,-13,-6,-17,-20
2025-09-14,16,139,6,100,14,6,20,25
2025-09-13,14,131,5,80,-13,-6,-17,-20
2025-09-12,16,139,6,95,14,6,20,19
2025-09-11,14,131,5,80,-13,-6,-17,-20
2025-09-10,16,139,6,100,14,6,20,25
2025-09-09,14,131,5,80,-13,-6,-17,-20
2025-09-08,16,139,6,95,14,6,20,19
2025-09-07,14,131,5,80,-13,-6,-17,-20
2025-09-06,16,139,6,100,14,6,20,25
2025-09-05,14,131,5,80,-13,-6,-17,-20
2025-09-04,16,139,6,95,14,6,20,19
2025-09-03,14,131,5,80,-13,-6,-17,-20
2025-09-02,16,139,6,100,14,6,20,25
2025-09-01,14,131,5,80,-13,-6,-17,-20
2025-08-31,15,135,6,85,7,3,20,6
2025-08-30,14,131,5,80,-7,-3,-17,-6
2025-08-29,15,135,6,85,7,3,20,6
2025-08-28,14,131,5,80,-7,-3,-17,-6
2025-08-27,15,135,6,85,7,3,20,6
2025-08-26,14,131,5,80,-7,-3,-17,-6
2025-08-25,15,135,6,85,7,3,20,6
2025-08-24,14,131,5,80,-7,-3,-17,-6
2025-08-23,15,135,6,85,7,3,20,6
2025-08-22,14,131,5,80,-7,-3,-17,-6
2025-08-21,15,135,6,85,7,3,20,6
2025-08-20,14,131,5,80,-7,-3,-17,-6
2025-08-19,15,135,6,85,7,3,20,6
2025-08-18,14,131,5,80,-7,-3,-17,-6
2025-08-17,15,135,6,85,7,3,20,6
2025-08-16,14,131,5,80,-7,-3,-17,-6
2025-08-15,15,135,6,85,7,3,20,6
2025-08-14,14,131,5,80,-7,-3,-17,-6
2025-08-13,15,135,6,85,7,3,20,6
2025-08-12,14,131,5,80,-7,-3,-17,-6
2025-08-11,15,135,6,85,7,3,20,6
2025-08-10,14,131,5,80,-7,-3,-17,-6
2025-08-09,15,135,6,85,7,3,20,6
2025-08-08,14,131,5,80,-7,-3,-17,-6
2025-08-07,15,135,6,85,7,3,20,6
2025-08-06,14,131,5,80,-7,-3,-17,-6
2025-08-05,15,135,6,85,7,3,20,6
2025-08-04,14,131,5,80,-7,-3,-17,-6
2025-08-03,15,135,6,85,7,3,20,6
2025-08-02,14,131,5,80,-7,-3,-17,-6
2025-08-01,15,135,6,85,7,3,20,6
2025-07-31,14,131,5,80,-7,-3,-17,-6
2025-07-30,15,135,6,85,7,3,20,6
2025-07-29,14,131,5,80,-7,-3,-17,-6
2025-07-28,15,135,6,85,7,3,20,6
2025-07-27,14,131,5,80,-7,-3,-17,-6
2025-07-26,15,135,6,85,7,3,20,6
2025-07-25,14,131,5,80,-7,-3,-17,-6
2025-07-24,15,135,6,85,7,3,20,6
2025-07-23,14,131,5,80,-7,-3,-17,-6
2025-07-22,15,135,6,85,7,3,20,6
2025-07-21,14,131,5,80,-7,-3,-17,-6
2025-07-20,15,135,6,85,7,3,20,6
2025-07-19,14,131,5,80,-7,-3,-17,-6
2025-07-18,15,135,6,85,7,3,20,6
2025-07-17,14,131,5,80,-7,-3,-17,-6
2025-07-16,15,135,6,85,7,3,20,6
2025-07-15,14,131,5,80,-7,-3,-17,-6
2025-07-14,15,135,6,85,7,3,20,6
2025-07-13,14,131,5,80,-7,-3,-17,-6
2025-07-12,15,135,6,85,7,3,20,6
2025-07-11,14,131,5,80,-7,-3,-17,-6
2025-07-10,15,135,6,85,7,3,20,6
2025-07-09,14,131,5,80,-7,-3,-17,-6
