date,language,call_count,percentage
2025-09-30,Hindi,4,22.2
2025-09-30,Bengali,3,16.7
2025-09-30,Telugu,2,11.1
2025-09-30,Marathi,3,16.7
2025-09-30,Tamil,2,11.1
2025-09-30,Urdu,4,22.2
2025-09-29,Hindi,3,18.8
2025-09-29,Bengali,2,12.5
2025-09-29,Telugu,3,18.8
2025-09-29,Marathi,2,12.5
2025-09-29,Tamil,3,18.8
2025-09-29,Urdu,3,18.8
2025-09-28,Hindi,4,26.7
2025-09-28,Bengali,2,13.3
2025-09-28,Telugu,2,13.3
2025-09-28,Marathi,3,20.0
2025-09-28,Tamil,2,13.3
2025-09-28,Urdu,2,13.3
2025-09-27,Hindi,3,17.6
2025-09-27,Bengali,3,17.6
2025-09-27,Telugu,3,17.6
2025-09-27,Marathi,2,11.8
2025-09-27,Tamil,3,17.6
2025-09-27,Urdu,3,17.6
2025-09-26,Hindi,3,20.0
2025-09-26,Bengali,2,13.3
2025-09-26,Telugu,3,20.0
2025-09-26,Marathi,2,13.3
2025-09-26,Tamil,2,13.3
2025-09-26,Urdu,3,20.0
2025-09-25,Hindi,4,23.5
2025-09-25,Bengali,3,17.6
2025-09-25,Telugu,2,11.8
2025-09-25,Marathi,3,17.6
2025-09-25,Tamil,2,11.8
2025-09-25,Urdu,3,17.6
2025-09-24,Hindi,3,18.8
2025-09-24,Bengali,2,12.5
2025-09-24,Telugu,3,18.8
2025-09-24,Marathi,3,18.8
2025-09-24,Tamil,2,12.5
2025-09-24,Urdu,3,18.8
2025-09-23,Hindi,3,20.0
2025-09-23,Bengali,3,20.0
2025-09-23,Telugu,2,13.3
2025-09-23,Marathi,2,13.3
2025-09-23,Tamil,2,13.3
2025-09-23,Urdu,3,20.0
2025-09-22,Hindi,4,25.0
2025-09-22,Bengali,2,12.5
2025-09-22,Telugu,3,18.8
2025-09-22,Marathi,2,12.5
2025-09-22,Tamil,2,12.5
2025-09-22,Urdu,3,18.8
2025-09-21,Hindi,3,21.4
2025-09-21,Bengali,2,14.3
2025-09-21,Telugu,2,14.3
2025-09-21,Marathi,3,21.4
2025-09-21,Tamil,2,14.3
2025-09-21,Urdu,2,14.3
2025-09-20,Hindi,4,25.0
2025-09-20,Bengali,3,18.8
2025-09-20,Telugu,2,12.5
2025-09-20,Marathi,2,12.5
2025-09-20,Tamil,2,12.5
2025-09-20,Urdu,3,18.8
2025-09-19,Hindi,3,23.1
2025-09-19,Bengali,2,15.4
2025-09-19,Telugu,2,15.4
2025-09-19,Marathi,2,15.4
2025-09-19,Tamil,2,15.4
2025-09-19,Urdu,2,15.4
2025-09-18,Hindi,3,18.8
2025-09-18,Bengali,3,18.8
2025-09-18,Telugu,3,18.8
2025-09-18,Marathi,2,12.5
2025-09-18,Tamil,2,12.5
2025-09-18,Urdu,3,18.8
2025-09-17,Hindi,3,21.4
2025-09-17,Bengali,2,14.3
2025-09-17,Telugu,2,14.3
2025-09-17,Marathi,3,21.4
2025-09-17,Tamil,2,14.3
2025-09-17,Urdu,2,14.3
2025-09-16,Hindi,4,25.0
2025-09-16,Bengali,2,12.5
2025-09-16,Telugu,3,18.8
2025-09-16,Marathi,2,12.5
2025-09-16,Tamil,2,12.5
2025-09-16,Urdu,3,18.8
2025-09-15,Hindi,3,21.4
2025-09-15,Bengali,2,14.3
2025-09-15,Telugu,2,14.3
2025-09-15,Marathi,3,21.4
2025-09-15,Tamil,2,14.3
2025-09-15,Urdu,2,14.3
2025-09-14,Hindi,3,18.8
2025-09-14,Bengali,3,18.8
2025-09-14,Telugu,3,18.8
2025-09-14,Marathi,2,12.5
2025-09-14,Tamil,2,12.5
2025-09-14,Urdu,3,18.8
2025-09-13,Hindi,3,21.4
2025-09-13,Bengali,2,14.3
2025-09-13,Telugu,2,14.3
2025-09-13,Marathi,3,21.4
2025-09-13,Tamil,2,14.3
2025-09-13,Urdu,2,14.3
2025-09-12,Hindi,4,25.0
2025-09-12,Bengali,2,12.5
2025-09-12,Telugu,3,18.8
2025-09-12,Marathi,2,12.5
2025-09-12,Tamil,2,12.5
2025-09-12,Urdu,3,18.8
2025-09-11,Hindi,3,21.4
2025-09-11,Bengali,2,14.3
2025-09-11,Telugu,2,14.3
2025-09-11,Marathi,3,21.4
2025-09-11,Tamil,2,14.3
2025-09-11,Urdu,2,14.3
2025-09-10,Hindi,3,18.8
2025-09-10,Bengali,3,18.8
2025-09-10,Telugu,3,18.8
2025-09-10,Marathi,2,12.5
2025-09-10,Tamil,2,12.5
2025-09-10,Urdu,3,18.8
2025-09-09,Hindi,3,21.4
2025-09-09,Bengali,2,14.3
2025-09-09,Telugu,2,14.3
2025-09-09,Marathi,3,21.4
2025-09-09,Tamil,2,14.3
2025-09-09,Urdu,2,14.3
2025-09-08,Hindi,4,25.0
2025-09-08,Bengali,2,12.5
2025-09-08,Telugu,3,18.8
2025-09-08,Marathi,2,12.5
2025-09-08,Tamil,2,12.5
2025-09-08,Urdu,3,18.8
2025-09-07,Hindi,3,21.4
2025-09-07,Bengali,2,14.3
2025-09-07,Telugu,2,14.3
2025-09-07,Marathi,3,21.4
2025-09-07,Tamil,2,14.3
2025-09-07,Urdu,2,14.3
2025-09-06,Hindi,3,18.8
2025-09-06,Bengali,3,18.8
2025-09-06,Telugu,3,18.8
2025-09-06,Marathi,2,12.5
2025-09-06,Tamil,2,12.5
2025-09-06,Urdu,3,18.8
2025-09-05,Hindi,3,21.4
2025-09-05,Bengali,2,14.3
2025-09-05,Telugu,2,14.3
2025-09-05,Marathi,3,21.4
2025-09-05,Tamil,2,14.3
2025-09-05,Urdu,2,14.3
2025-09-04,Hindi,4,25.0
2025-09-04,Bengali,2,12.5
2025-09-04,Telugu,3,18.8
2025-09-04,Marathi,2,12.5
2025-09-04,Tamil,2,12.5
2025-09-04,Urdu,3,18.8
2025-09-03,Hindi,3,21.4
2025-09-03,Bengali,2,14.3
2025-09-03,Telugu,2,14.3
2025-09-03,Marathi,3,21.4
2025-09-03,Tamil,2,14.3
2025-09-03,Urdu,2,14.3
2025-09-02,Hindi,3,18.8
2025-09-02,Bengali,3,18.8
2025-09-02,Telugu,3,18.8
2025-09-02,Marathi,2,12.5
2025-09-02,Tamil,2,12.5
2025-09-02,Urdu,3,18.8
2025-09-01,Hindi,3,21.4
2025-09-01,Bengali,2,14.3
2025-09-01,Telugu,2,14.3
2025-09-01,Marathi,3,21.4
2025-09-01,Tamil,2,14.3
2025-09-01,Urdu,2,14.3
2025-08-31,Hindi,3,20.0
2025-08-31,Bengali,3,20.0
2025-08-31,Telugu,2,13.3
2025-08-31,Marathi,2,13.3
2025-08-31,Tamil,2,13.3
2025-08-31,Urdu,3,20.0
2025-08-30,Hindi,3,21.4
2025-08-30,Bengali,2,14.3
2025-08-30,Telugu,2,14.3
2025-08-30,Marathi,3,21.4
2025-08-30,Tamil,2,14.3
2025-08-30,Urdu,2,14.3
2025-08-29,Hindi,3,20.0
2025-08-29,Bengali,3,20.0
2025-08-29,Telugu,2,13.3
2025-08-29,Marathi,2,13.3
2025-08-29,Tamil,2,13.3
2025-08-29,Urdu,3,20.0
2025-08-28,Hindi,3,21.4
2025-08-28,Bengali,2,14.3
2025-08-28,Telugu,2,14.3
2025-08-28,Marathi,3,21.4
2025-08-28,Tamil,2,14.3
2025-08-28,Urdu,2,14.3
2025-08-27,Hindi,3,20.0
2025-08-27,Bengali,3,20.0
2025-08-27,Telugu,2,13.3
2025-08-27,Marathi,2,13.3
2025-08-27,Tamil,2,13.3
2025-08-27,Urdu,3,20.0
2025-08-26,Hindi,3,21.4
2025-08-26,Bengali,2,14.3
2025-08-26,Telugu,2,14.3
2025-08-26,Marathi,3,21.4
2025-08-26,Tamil,2,14.3
2025-08-26,Urdu,2,14.3
2025-08-25,Hindi,3,20.0
2025-08-25,Bengali,3,20.0
2025-08-25,Telugu,2,13.3
2025-08-25,Marathi,2,13.3
2025-08-25,Tamil,2,13.3
2025-08-25,Urdu,3,20.0
2025-08-24,Hindi,3,21.4
2025-08-24,Bengali,2,14.3
2025-08-24,Telugu,2,14.3
2025-08-24,Marathi,3,21.4
2025-08-24,Tamil,2,14.3
2025-08-24,Urdu,2,14.3
2025-08-23,Hindi,3,20.0
2025-08-23,Bengali,3,20.0
