ticket_id,call_id,ticket_number,query_type,status,created_datetime,resolved_datetime,assigned_to
560193,CALL1001,Ticket #560193,Technical Support,Ticket generated,2025-09-30 09:35:00,,Technical Team
560194,CALL1001,Ticket #560194,Technical Support,Resolved,2025-09-30 09:35:00,2025-09-30 14:20:00,Technical Team
560195,CALL1002,Ticket #560195,Billing Inquiry,Resolved,2025-09-30 10:20:45,2025-09-30 15:30:00,Billing Team
560196,CALL1005,Ticket #560196,Technical Support,Ticket generated,2025-09-30 15:35:10,,Technical Team
560197,CALL1005,Ticket #560197,Technical Support,Resolved,2025-09-30 15:35:10,2025-09-30 18:45:00,Technical Team
560198,CALL1005,Ticket #560198,Technical Support,Ticket generated,2025-09-30 15:35:10,,Technical Team
560199,CALL1006,Ticket #560199,General Inquiry,Resolved,2025-09-29 08:20:15,2025-09-29 12:30:00,Support Team
560200,CALL1006,Ticket #560200,General Inquiry,Resolved,2025-09-29 08:20:15,2025-09-29 13:15:00,Support Team
560201,CALL1007,Ticket #560201,General Inquiry,Ticket generated,2025-09-29 12:35:20,,Support Team
560202,CALL1008,Ticket #560202,Product Feedback,Ticket generated,2025-09-29 16:50:10,,Support Team
560203,CALL1008,Ticket #560203,Product Feedback,Resolved,2025-09-29 16:50:10,2025-09-29 19:20:00,Support Team
560204,CALL1008,Ticket #560204,Product Feedback,Ticket generated,2025-09-29 16:50:10,,Support Team
560205,CALL1008,Ticket #560205,Product Feedback,Ticket generated,2025-09-29 16:50:10,,Support Team
560206,CALL1009,Ticket #560206,General Inquiry,Resolved,2025-09-28 09:25:30,2025-09-28 14:40:00,Support Team
560207,CALL1009,Ticket #560207,General Inquiry,Resolved,2025-09-28 09:25:30,2025-09-28 15:20:00,Support Team
560208,CALL1009,Ticket #560208,General Inquiry,Resolved,2025-09-28 09:25:30,2025-09-28 16:10:00,Support Team
560209,CALL1009,Ticket #560209,General Inquiry,Resolved,2025-09-28 09:25:30,2025-09-28 17:30:00,Support Team
560210,CALL1009,Ticket #560210,General Inquiry,Resolved,2025-09-28 09:25:30,2025-09-28 18:15:00,Support Team
560211,CALL1010,Ticket #560211,General Inquiry,Ticket generated,2025-09-28 13:45:10,,Support Team
560212,CALL1010,Ticket #560212,General Inquiry,Resolved,2025-09-28 13:45:10,2025-09-28 17:20:00,Support Team
560213,CALL1012,Ticket #560213,General Inquiry,Resolved,2025-09-27 14:35:20,2025-09-27 18:45:00,Support Team
560214,CALL1012,Ticket #560214,General Inquiry,Resolved,2025-09-27 14:35:20,2025-09-27 19:30:00,Support Team
560215,CALL1012,Ticket #560215,General Inquiry,Ticket generated,2025-09-27 14:35:20,,Support Team
560216,CALL1013,Ticket #560216,General Inquiry,Ticket generated,2025-09-26 11:25:30,,Support Team
560217,CALL1013,Ticket #560217,General Inquiry,Resolved,2025-09-26 11:25:30,2025-09-26 16:40:00,Support Team
560218,CALL1015,Ticket #560218,Billing Inquiry,Resolved,2025-09-25 09:35:20,2025-09-25 14:50:00,Billing Team
560219,CALL1016,Ticket #560219,General Inquiry,Ticket generated,2025-09-25 13:20:15,,Support Team
560220,CALL1016,Ticket #560220,General Inquiry,Resolved,2025-09-25 13:20:15,2025-09-25 17:35:00,Support Team
560221,CALL1016,Ticket #560221,General Inquiry,Ticket generated,2025-09-25 13:20:15,,Support Team
560222,CALL1016,Ticket #560222,General Inquiry,Ticket generated,2025-09-25 13:20:15,,Support Team
560223,CALL1018,Ticket #560223,Technical Support,Resolved,2025-09-24 12:25:30,2025-09-24 16:40:00,Technical Team
560224,CALL1018,Ticket #560224,Technical Support,Resolved,2025-09-24 12:25:30,2025-09-24 17:20:00,Technical Team
560225,CALL1018,Ticket #560225,Technical Support,Resolved,2025-09-24 12:25:30,2025-09-24 18:15:00,Technical Team
560226,CALL1019,Ticket #560226,General Inquiry,Ticket generated,2025-09-23 10:35:10,,Support Team
560227,CALL1019,Ticket #560227,General Inquiry,Resolved,2025-09-23 10:35:10,2025-09-23 15:20:00,Support Team
560228,CALL1020,Ticket #560228,General Inquiry,Ticket generated,2025-09-23 14:50:15,,Support Team
560229,CALL1021,Ticket #560229,Product Feedback,Resolved,2025-09-22 09:20:25,2025-09-22 14:35:00,Support Team
560230,CALL1021,Ticket #560230,Product Feedback,Resolved,2025-09-22 09:20:25,2025-09-22 15:40:00,Support Team
560231,CALL1021,Ticket #560231,Product Feedback,Resolved,2025-09-22 09:20:25,2025-09-22 16:25:00,Support Team
560232,CALL1021,Ticket #560232,Product Feedback,Resolved,2025-09-22 09:20:25,2025-09-22 17:50:00,Support Team
560233,CALL1021,Ticket #560233,Product Feedback,Resolved,2025-09-22 09:20:25,2025-09-22 18:30:00,Support Team
